centreline_id,direction,location,class_type,dt,volume_daily
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-19,2762
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-18,2871
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-17,2727
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-16,1080
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-15,1731
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-14,2524
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-13,2751
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-12,2756
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-11,2535
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-10,487
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-09,1250
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-08,1647
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-07,2581
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-06,2478
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-05,2601
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-04,2483
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-03,1283
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-02,1238
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-09-01,1380
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2018-08-31,2174
